sequential_label,category_label,category,x,y,width,height,area,center_x,center_y
S150,P103,Regular,266,451,12,21,170.0,272,461
S151,P102,Regular,41,452,21,13,188.0,51,458
S152,P101,Regular,393,452,12,21,162.5,399,462
S153,P100,Regular,281,455,12,20,139.5,287,465
S154,P99,Regular,407,456,12,20,165.0,413,466
S155,P98,Regular,421,459,16,21,220.5,429,469
S156,P97,Regular,437,463,15,20,187.0,444,473
S157,P96,Regular,39,465,21,14,202.0,49,472
S158,P95,Regular,103,466,15,25,221.5,110,478
S159,P94,Regular,341,466,16,26,266.0,349,479
S160,P93,Regular,117,470,19,25,311.0,126,482
S161,P92,Regular,357,470,14,25,226.5,364,482
S162,P91,Regular,371,473,16,26,264.5,379,486
S163,P90,Regular,135,474,14,25,193.5,142,486
S164,P89,Regular,387,476,14,25,200.5,394,488
S165,P88,Regular,148,478,15,24,216.5,155,490
S166,P87,Regular,400,479,15,25,229.0,407,491
S167,P86,Regular,36,481,22,11,158.0,47,486
S168,P85,Regular,162,482,15,24,206.0,169,494
S169,P84,Regular,415,482,17,25,261.5,423,494
S170,P83,Regular,175,485,15,24,219.0,182,497
S171,P82,Regular,430,485,17,27,265.5,438,498
S172,P81,Regular,190,488,15,26,239.0,197,501
S173,P80,Regular,205,492,14,25,217.0,212,504
S174,P79,Regular,34,493,22,12,172.5,45,499
S175,P78,Regular,97,493,14,26,206.5,104,506
S176,P77,Regular,218,495,13,25,180.0,224,507
S177,P76,Regular,111,497,18,25,306.0,120,509
S178,P75,Regular,230,499,14,24,198.0,237,511
S179,P74,Regular,128,501,13,25,171.5,134,513
S180,P73,Regular,244,502,13,25,190.5,250,514
S181,P72,Regular,139,505,17,25,253.0,147,517
S182,P71,Regular,257,506,17,25,280.0,265,518
S183,P70,Regular,31,507,23,15,240.0,42,514
S184,P69,Regular,155,508,15,26,218.5,162,521
S185,P68,Regular,273,509,14,26,201.5,280,522
S186,P67,Regular,169,511,15,28,258.0,176,525
S187,P66,Regular,286,513,14,25,210.5,293,525
S188,P65,Regular,184,516,15,26,236.5,191,529
S189,P64,Regular,300,517,15,25,236.5,307,529
S190,P63,Regular,199,519,13,26,188.0,205,532
S191,P62,Regular,314,520,16,26,235.5,322,533
S192,P61,Regular,211,523,13,25,165.0,217,535
S193,P60,Regular,329,524,15,26,235.0,336,537
S194,P59,Regular,223,526,14,26,209.5,230,539
S195,P58,Regular,343,527,17,27,286.5,351,540
S196,P57,Regular,237,530,14,25,209.5,244,542
S197,P56,Regular,360,532,15,26,225.5,367,545
S198,P55,Regular,250,533,17,27,281.0,258,546
S199,P54,Regular,373,535,15,26,214.0,380,548
S200,P53,Regular,267,537,13,26,192.5,273,550
S201,P52,Regular,386,539,16,26,232.5,394,552
S202,P51,Regular,279,541,14,26,220.5,286,554
S203,P50,Regular,401,542,16,27,243.0,409,555
S204,P49,Regular,293,544,15,26,230.5,300,557
S205,P48,Regular,415,546,15,26,203.0,422,559
S206,P47,Regular,49,549,98,53,3021.5,98,575
S207,P46,Regular,308,549,15,25,234.5,315,561
S208,P45,Regular,429,549,16,27,244.0,437,562
S209,P44,Regular,322,552,15,27,249.0,329,565
S210,P43,Regular,443,553,15,27,222.0,450,566
S211,P42,Regular,55,555,16,23,266.5,63,566
S212,P41,Regular,338,556,15,26,254.5,345,569
S213,P40,Regular,457,557,15,27,241.5,464,570
S214,P39,Regular,72,559,13,22,167.5,78,570
S215,P38,Regular,352,560,14,26,173.5,359,573
S216,P37,Regular,471,560,15,27,236.5,478,573
S217,P36,Regular,84,562,15,22,179.0,91,573
S218,P35,Regular,364,564,16,25,224.0,372,576
S219,P34,Regular,485,564,16,26,236.5,493,577
S220,P33,Regular,98,565,15,23,192.0,105,576
S221,P32,Regular,378,567,16,26,223.0,386,580
S222,P31,Regular,500,567,15,28,233.0,507,581
S223,P30,Regular,112,568,16,24,217.0,120,580
S224,P29,Regular,147,570,61,45,1661.0,177,592
S225,P28,Regular,127,571,14,24,193.5,134,583
S226,P27,Regular,393,571,16,26,241.5,401,584
S227,P26,Regular,514,571,13,27,186.5,520,584
S228,P25,Regular,526,574,15,27,209.0,533,587
S229,P24,Regular,407,575,15,26,214.5,414,588
S230,P23,Regular,153,576,15,26,218.0,160,589
S231,P22,Regular,539,578,15,27,229.0,546,591
S232,P21,Regular,421,579,15,25,206.0,428,591
S233,P20,Regular,168,581,14,24,205.0,175,593
S234,P19,Regular,554,581,17,29,330.5,562,595
S235,P18,Regular,435,582,16,27,225.0,443,595
S236,P17,Regular,182,585,15,24,215.5,189,597
S237,P16,Regular,449,586,16,26,238.0,457,599
S238,P15,Regular,463,590,17,26,252.5,471,603
S239,R3,Reservation,216,591,48,42,1150.0,240,612
S240,R2,Reservation,222,593,23,31,505.0,233,608
S241,P14,Regular,566,594,79,106,2958.0,605,647
S242,P13,Regular,479,595,14,25,193.0,486,607
S243,R1,Reservation,240,597,17,28,218.0,248,611
S244,P12,Regular,492,598,15,26,224.0,499,611
S245,P11,Regular,619,600,21,14,189.0,629,607
S246,P10,Regular,507,601,13,26,180.5,513,614
S247,P9,Regular,520,605,13,25,174.0,526,617
S248,P8,Regular,532,608,16,26,260.5,540,621
S249,P7,Regular,548,612,17,28,296.0,556,626
S250,P6,Regular,616,616,19,11,136.5,625,621
S251,P5,Regular,613,628,19,13,148.0,622,634
S252,P4,Regular,405,639,11,26,84.0,410,652
S253,P3,Regular,609,641,19,15,166.5,618,648
S254,P2,Regular,606,657,19,14,155.5,615,664
S255,P1,Regular,603,671,18,12,133.5,612,677
